year_month,Complaint Type,census_tract_id,complaint_count
2010-01,Missing Collection,36047057400,1
2010-01,Missing Collection,36047057901,1
2010-01,Missing Collection,36047058600,1
2010-01,Missing Collection,36047058901,1
2010-01,Missing Collection,36047059000,1
2010-01,Missing Collection,36047059100,1
2010-01,Missing Collection,36047059403,1
2010-01,Missing Collection,36047059404,2
2010-01,Missing Collection,36047059800,1
2010-01,Missing Collection,36047060000,4
2010-01,Missing Collection,36047061004,1
2010-01,Missing Collection,36047061200,1
2010-01,Missing Collection,36047062000,2
2010-01,Missing Collection,36047062200,2
2010-01,Missing Collection,36047062600,1
2010-01,Missing Collection,36047062800,4
2010-01,Missing Collection,36047063200,1
2010-01,Missing Collection,36047063600,2
2010-01,Missing Collection,36047064200,1
2010-01,Missing Collection,36047064600,1
2010-01,Missing Collection,36047064800,1
2010-01,Missing Collection,36047065200,1
2010-01,Missing Collection,36047065600,1
2010-01,Missing Collection,36047065800,1
2010-01,Missing Collection,36047066000,1
2010-01,Missing Collection,36047066200,1
2010-01,Missing Collection,36047067000,1
2010-01,Missing Collection,36047067200,1
2010-01,Missing Collection,36047067800,1
2010-01,Missing Collection,36047068000,1
2010-01,Missing Collection,36047068200,2
2010-01,Missing Collection,36047069000,1
2010-01,Missing Collection,36047069601,2
2010-01,Missing Collection,36047069602,5
2010-01,Missing Collection,36047069800,1
2010-01,Missing Collection,36047070201,17
2010-01,Missing Collection,36047070601,3
2010-01,Missing Collection,36047072800,1
2010-01,Missing Collection,36047073400,1
2010-01,Missing Collection,36047073600,2
2010-01,Missing Collection,36047074000,1
2010-01,Missing Collection,36047074400,2
2010-01,Missing Collection,36047074600,1
2010-01,Missing Collection,36047075000,2
2010-01,Missing Collection,36047075800,1
2010-01,Missing Collection,36047076200,1
2010-01,Missing Collection,36047076800,1
2010-01,Missing Collection,36047078000,1
2010-01,Missing Collection,36047078200,4
2010-01,Missing Collection,36047078400,3
2010-01,Missing Collection,36047078602,1
2010-01,Missing Collection,36047078801,1
2010-01,Missing Collection,36047079001,2
2010-01,Missing Collection,36047079002,1
2010-01,Missing Collection,36047079201,1
2010-01,Missing Collection,36047079801,1
2010-01,Missing Collection,36047080000,4
2010-01,Missing Collection,36047081000,1
2010-01,Missing Collection,36047081600,1
2010-01,Missing Collection,36047081800,1
2010-01,Missing Collection,36047082200,1
2010-01,Missing Collection,36047083200,1
2010-01,Missing Collection,36047083600,3
2010-01,Missing Collection,36047084000,2
2010-01,Missing Collection,36047084800,1
2010-01,Missing Collection,36047085000,1
2010-01,Missing Collection,36047086000,1
2010-01,Missing Collection,36047086800,1
2010-01,Missing Collection,36047087000,2
2010-01,Missing Collection,36047087401,1
2010-01,Missing Collection,36047088200,1
